ID;category_id;parent_product_id;supplier_id;Product Name;product_code;Description;Selling Price;Supplier Price;Gross Profit;Is Product Active;Size;Qty;Next Price Update Date;Image URL;;;;
19;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 630mm";MF-5-19;"90&deg; ELBOW - PE100 MOULDED SDR17 630mm";17050,854;17050,854;25;1;630mm;1;2022/01/19;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
20;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 63mm";MF-5-20;"90&deg; ELBOW - PE100 MOULDED SDR11 63mm";39,246;39,246;25;1;63mm;1;2022/01/01;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
21;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 75mm";MF-5-21;"90&deg; ELBOW - PE100 MOULDED SDR11 75mm";68,076;68,076;25;1;75mm;1;2022/01/02;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
22;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 90mm";MF-5-22;"90&deg; ELBOW - PE100 MOULDED SDR11 90mm";99,294;99,294;25;1;90mm;1;2022/01/03;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
23;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 110mm";MF-5-23;"90&deg; ELBOW - PE100 MOULDED SDR11 110mm";164,178;164,178;25;1;110mm;1;2022/01/04;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
24;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 125mm";MF-5-24;"90&deg; ELBOW - PE100 MOULDED SDR11 125mm";245,022;245,022;25;1;125mm;1;2022/01/05;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
25;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 140mm";MF-5-25;"90&deg; ELBOW - PE100 MOULDED SDR11 140mm";278,682;278,682;25;1;140mm;1;2022/01/06;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
26;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 160mm";MF-5-26;"90&deg; ELBOW - PE100 MOULDED SDR11 160mm";381,966;381,966;25;1;160mm;1;2022/01/07;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
27;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 180mm";MF-5-27;"90&deg; ELBOW - PE100 MOULDED SDR11 180mm";549,378;549,378;25;1;180mm;1;2022/01/08;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
28;26;7;13;"90&deg; ELBOW - PE100 MOULDED SDR11 200mm";MF-5-28;"90&deg; ELBOW - PE100 MOULDED SDR11 200mm";710,364;710,364;25;1;200mm;1;2022/01/09;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
