productid,active,class_name,diameter,Pexmartweight,quote_weight,production_weight,,
106,1,PN12.5,125,3.39,3.416,3.34,,
107,1,PN12.5,140,4.25,4.278,4.19,,
108,1,PN12.5,160,5.55,5.583,5.49,,
109,1,PN12.5,180,7.04,7.087,6.96,,
110,1,PN12.5,200,8.63,8.691,8.55,,
111,1,PN12.5,225,10.97,11.037,10.85,,
112,1,PN12.5,250,13.51,13.596,13.37,,
113,1,PN12.5,280,16.92,17.035,16.77,,
114,1,PN12.5,315,21.45,21.589,21.24,,
115,1,PN12.5,355,27.20,27.374,26.94,,
116,1,PN12.5,400,34.49,34.712,34.19,,
117,1,PN12.5,450,43.69,43.969,43.30,,
118,1,PN12.5,500,53.90,54.254,53.48,,
119,1,PN12.5,560,67.63,68.068,67.07,,
120,1,PN12.5,630,85.48,86.035,84.80,,
121,1,PN12.5,710,108.57,109.478,107.74,,
122,1,PN12.5,800,137.67,138.869,136.75,,
123,1,PN12.5,900,174.36,175.929,173.19,,
124,1,PN12.5,1000,212.32,214.276,211.01,,
125,1,PN16,20,0.12,0.117,0.11,,
126,1,PN16,25,0.17,0.171,0.16,,
127,1,PN16,32,0.28,0.281,0.27,,
128,1,PN16,40,0.43,0.434,0.42,,
129,1,PN16,50,0.67,0.672,0.65,,
130,1,PN16,63,1.06,1.063,1.04,,
131,1,PN16,75,1.47,1.485,1.45,,
132,1,PN16,90,2.14,2.151,2.10,,
133,1,PN16,110,3.17,3.190,3.13,,
134,1,PN16,125,4.11,4.138,4.06,,
135,1,PN16,140,5.12,5.157,5.07,,
136,1,PN16,160,6.73,6.769,6.65,,
137,1,PN16,180,8.50,8.555,8.41,,
138,1,PN16,200,10.48,10.550,10.37,,
139,1,PN16,225,13.27,13.354,13.14,,
140,1,PN16,250,16.32,16.423,16.17,,
141,1,PN16,280,20.46,20.590,20.27,,
142,1,PN16,315,25.90,26.063,25.67,,
143,1,PN16,355,32.87,33.087,32.58,,
144,1,PN16,400,41.73,42.005,41.38,,
145,1,PN16,450,52.85,53.189,52.45,,
146,1,PN16,500,65.21,65.633,64.69,,
147,1,PN16,560,81.69,82.222,81.08,,
148,1,PN16,630,103.50,104.177,102.70,,
149,1,PN16,710,131.45,132.552,130.50,,
150,1,PN16,800,166.65,168.100,165.53,,
151,1,PN16,900,210.88,212.779,209.56,,
152,1,PN16,1000,258.84,261.237,257.24,,
251,1,PN16,138,5.157,5.157,5.07,,
154,1,PN20,20,0.13,0.134,0.13,,
155,1,PN20,25,0.21,0.212,0.21,,
156,1,PN20,32,0.33,0.330,0.32,,
157,1,PN20,40,0.51,0.514,0.50,,
158,1,PN20,50,0.79,0.797,0.78,,
159,1,PN20,63,1.26,1.273,1.24,,
160,1,PN20,75,1.78,1.789,1.75,,
161,1,PN20,90,2.56,2.580,2.53,,
162,1,PN20,110,3.81,3.834,3.76,,
163,1,PN20,125,4.93,4.958,4.86,,
164,1,PN20,140,6.17,6.211,6.11,,
165,1,PN20,160,8.04,8.088,7.96,,
166,1,PN20,180,10.17,10.233,10.06,,
167,1,PN20,200,12.57,12.654,12.45,,
168,1,PN20,225,15.91,16.016,15.76,,
169,1,PN20,250,19.56,19.684,19.40,,
170,1,PN20,280,24.58,24.744,24.37,,
171,1,PN20,315,31.10,31.301,30.83,,
172,1,PN20,355,39.50,39.756,39.18,,
173,1,PN20,400,50.10,50.429,49.72,,
174,1,PN20,450,63.44,63.849,62.94,,
175,1,PN20,500,78.17,78.678,77.59,,
176,1,PN20,560,98.08,98.713,97.34,,
177,1,PN20,630,124.11,124.913,123.17,,
178,1,PN20,710,157.70,159.027,156.57,,
179,1,PN20,800,191.55,201.775,198.68,,
181,1,PN25,20,0.16,0.164,0.16,,
182,1,PN25,25,0.24,0.244,0.24,,
183,1,PN25,32,0.39,0.391,0.38,,
184,1,PN25,40,0.60,0.609,0.59,,
185,1,PN25,50,0.94,0.949,0.93,,
186,1,PN25,63,1.48,1.492,1.46,,
187,1,PN25,75,2.11,2.125,2.08,,
188,1,PN25,90,3.02,3.044,2.99,,
189,1,PN25,110,4.53,4.561,4.48,,
190,1,PN25,125,5.83,5.870,5.77,,
191,1,PN25,140,7.33,7.374,7.25,,
192,1,PN25,160,9.54,9.597,9.45,,
193,1,PN25,180,12.05,12.133,11.95,,
194,1,PN25,200,14.91,15.010,14.78,,
195,1,PN25,225,18.85,18.972,18.69,,
196,1,PN25,250,23.27,23.419,23.07,,
197,1,PN25,280,29.18,29.366,28.93,,
198,1,PN25,315,36.93,37.173,36.62,,
199,1,PN25,355,46.83,47.134,46.46,,
200,1,PN25,400,59.48,59.866,59.03,,
201,1,PN25,450,75.24,75.731,74.67,,
203,1,PN34,20,0.182,0.182,NULL,,
204,1,PN34,25,0.277,0.277,NULL,,
205,1,PN34,32,0.460,0.460,NULL,,
206,1,PN34,40,0.712,0.712,NULL,,
207,1,PN34,50,1.103,1.103,NULL,,
208,1,PN34,63,1.752,1.752,NULL,,
209,1,PN34,75,2.481,2.481,NULL,,
210,1,PN34,90,3.574,3.574,NULL,,
211,1,PN34,110,5.323,5.323,NULL,,
212,1,PN34,125,6.866,6.866,NULL,,
213,1,PN34,140,8.619,8.619,NULL,,
214,1,PN34,160,11.239,11.239,NULL,,
215,1,PN34,180,14.205,14.205,NULL,,
216,1,PN34,200,17.537,17.537,NULL,,
217,1,PN34,225,22.212,22.212,NULL,,
218,1,PN34,250,27.384,27.384,NULL,,
219,1,PN34,280,34.358,34.358,NULL,,
220,1,PN34,315,43.476,43.476,NULL,,
221,1,PN34,355,55.235,55.235,NULL,,
247,1,Polycop,15,0.081,0.081,0.08,,
248,1,Polycop,22,0.171,0.171,0.17,,
249,1,Polycop,28,0.272,0.272,0.27,,
250,1,Polycop,35,0.433,0.433,0.43,,
