productid,class_name,diameter,quote_weight,backup_quote_weight,New Quote Weight,production_weight,New KL,,Quote vs production,,,,
81,PN10,160,4.49,4.551,4.56,4.49,4.581,,-1.36%,,,,
82,PN10,180,5.69,5.76,5.76,5.69,5.793,,-1.16%,,,,
83,PN10,200,7.03,7.10,7.11,7.03,7.149,,-1.04%,,,,
84,PN10,225,8.9,9.01,9.01,8.9,9.068,,-1.22%,,,,
85,PN10,250,10.93,11.04,11.04,10.93,11.112,,-1.01%,,,,
86,PN10,280,13.73,13.87,13.87,13.73,13.960,,-1.02%,,,,
87,PN10,315,17.4,17.57,17.57,17.4,17.679,,-0.95%,,,,
88,PN10,355,22.12,22.36,22.36,22.12,22.501,,-1.07%,,,,
89,PN10,400,28.01,28.25,28.26,28.01,28.437,,-0.87%,,,,
90,PN10,450,35.49,35.80,35.8,35.49,36.028,,-0.86%,,,,
91,PN10,500,43.86,44.23,44.23,43.86,44.515,,-0.84%,,,Weight,5%
92,PN10,560,54.92,55.41,55.41,54.92,55.767,,-0.89%,,,Settlement,2.50%
93,PN10,630,69.6,70.18,70.18,69.6,70.631,,-0.83%,,,Scrap,5%
94,PN10,710,88.3,89.18,89.19,88.3,89.763,,-1.00%,,,,
95,PN10,800,112.03,113.09,113.09,112.03,113.821,,-0.94%,,,,6.00E+06
96,PN10,900,141.72,143.05,143.05,141.72,143.980,,-0.94%,,,, R780 000.00 
97,PN10,1000,175.18,176.80,176.8,175.18,177.945,,-0.92%,,,,
98,PN12.5,25,0.14,0.149,0.15,0.14,0.1500,,-6.43%,,,,
99,PN12.5,32,0.22,0.23,0.24,0.22,0.233,,-5.00%,,,,
100,PN12.5,40,0.35,0.36,0.37,0.35,0.363,,-3.14%,,,,
101,PN12.5,50,0.54,0.55,0.55,0.54,0.554,,-1.85%,,,,
102,PN12.5,63,0.86,0.88,0.88,0.86,0.882,,-1.86%,,,,
103,PN12.5,75,1.22,1.24,1.25,1.22,1.249,,-1.72%,,,,
104,PN12.5,90,1.75,1.78,1.78,1.75,1.790,,-1.60%,,,,
105,PN12.5,110,2.59,2.63,2.64,2.59,2.651,,-1.70%,,,,
106,PN12.5,125,3.34,3.39,3.4,3.34,3.416,,-1.62%,,,,
107,PN12.5,140,4.19,4.25,4.25,4.19,4.278,,-1.43%,,,,
108,PN12.5,160,5.49,5.55,5.55,5.49,5.583,,-1.04%,,,,
109,PN12.5,180,6.96,7.04,7.05,6.96,7.087,,-1.16%,,,,
110,PN12.5,200,8.55,8.64,8.64,8.55,8.691,,-0.99%,,,,
111,PN12.5,225,10.85,10.97,10.97,10.85,11.037,,-1.07%,,,,
112,PN12.5,250,13.37,13.51,13.51,13.37,13.596,,-1.03%,,,,
113,PN12.5,280,16.77,16.93,16.93,16.77,17.035,,-0.92%,,,,
114,PN12.5,315,21.24,21.45,21.45,21.24,21.589,,-0.99%,,,,
115,PN12.5,355,26.94,27.20,27.2,26.94,27.374,,-0.95%,,,,
116,PN12.5,400,34.19,34.49,34.49,34.19,34.712,,-0.87%,,,,
117,PN12.5,450,43.3,43.69,43.69,43.3,43.969,,-0.89%,,,,
118,PN12.5,500,53.48,53.90,53.91,53.48,54.254,,-0.79%,,,,
119,PN12.5,560,67.07,67.63,67.63,67.07,68.068,,-0.83%,,,,
120,PN12.5,630,84.8,85.48,85.48,84.8,86.035,,-0.80%,,,,
121,PN12.5,710,107.74,108.77,108.78,107.74,109.478,,-0.96%,,,,
122,PN12.5,800,136.75,137.97,137.98,136.75,138.869,,-0.89%,,,,
123,PN12.5,900,173.19,174.79,174.8,173.19,175.929,,-0.93%,,,,
124,PN12.5,1000,211.01,212.89,212.9,211.01,214.276,,-0.89%,,,,
125,PN16,20,0.11,0.12,0.12,0.11,0.117,,-5.45%,,,,
126,PN16,25,0.16,0.17,0.17,0.16,0.171,,-6.25%,,,,
127,PN16,32,0.27,0.28,0.28,0.27,0.281,,-3.33%,,,,
128,PN16,40,0.42,0.43,0.44,0.42,0.434,,-2.62%,,,,
129,PN16,50,0.65,0.67,0.67,0.65,0.672,,-2.77%,,,,
130,PN16,63,1.04,1.06,1.06,1.04,1.063,,-1.54%,,,,
131,PN16,75,1.45,1.48,1.48,1.45,1.485,,-1.72%,,,,
132,PN16,90,2.1,2.14,2.14,2.1,2.151,,-1.76%,,,,
133,PN16,110,3.13,3.17,3.17,3.13,3.190,,-1.25%,,,,
134,PN16,125,4.06,4.11,4.12,4.06,4.138,,-1.26%,,,,
135,PN16,140,5.07,5.12,5.13,5.07,5.157,,-1.07%,,,,
136,PN16,160,6.65,6.73,6.73,6.65,6.769,,-1.13%,,,,
137,PN16,180,8.41,8.50,8.5,8.41,8.555,,-1.07%,,,,
138,PN16,200,10.37,10.48,10.49,10.37,10.550,,-1.08%,,,,
139,PN16,225,13.14,13.27,13.27,13.14,13.354,,-0.97%,,,,
140,PN16,250,16.17,16.32,16.32,16.17,16.423,,-0.91%,,,,
141,PN16,280,20.27,20.46,20.46,20.27,20.590,,-0.92%,,,,
142,PN16,315,25.67,25.90,25.9,25.67,26.063,,-0.88%,,,,
143,PN16,355,32.58,32.87,32.88,32.58,33.087,,-0.90%,,,,
144,PN16,400,41.38,41.73,41.74,41.38,42.005,,-0.86%,,,,
145,PN16,450,52.45,52.85,52.85,52.45,53.189,,-0.76%,,,,
146,PN16,500,64.69,65.21,65.21,64.69,65.633,,-0.80%,,,,
147,PN16,560,81.08,81.69,81.7,81.08,82.222,,-0.75%,,,,
148,PN16,630,102.7,103.50,103.51,102.7,104.177,,-0.78%,,,,
149,PN16,710,130.5,131.70,131.7,130.5,132.552,,-0.92%,,,,
