name;code
Quantum Food Holdings Limited ; QFH
Randgold & Exploration Company Ltd ; RNG
Raubex Group Limited ; RBX
Raven Property Group Limited ; RAV
RCL Foods Limited ; RCL
Rebosis Property Fund Limited ; REB
RECM And Calibre Limited ; RACP
Redefine Properties Limited ; RDF
REINET INVESTMENTS SCA ; RNI
Remgro Limited ; REM
Renergen Limited ; REN
Resilient REIT Limited ; RES
Resource Generation Limited ; RSG
Reunert Limited ; RLO
Rex Trueform Clothing Company Ltd ; RTO
RH Bophelo Limited ; RHB
Rhodes Food Group Holdings Limited ; RFG
Rockwell Diamonds Incorporated ; RDI
Royal Bafokeng Platinum Limited ; RBP
SA Corporate Real Estate Limited ; SAC
Sabvest Capital Limited ; SBP
Safari Investments RSA Limited ; SAR
Sanlam Limited ; SLM
Santova Limited ; SNV
Sappi Limited ; SAP
Sasol Limited ; SOL
SEA HARVEST GROUP LTD ; SHG
Sebataa Holdings Limited ; SEB
Sephaku Holdings Limited ; SEP
SERE ; SERE
Shoprite Holdings Limited ; SHP
Sibanye-Stillwater Limited ; SSW
Silverbridge Holdings Limited ; SVB
Sirius Real Estate Limited ; SRE
South Ocean Holdings Limited ; SOH
South32 Limited ; S32
Spanjaard Limited ; SPA
SPEARREIT ; SPEARREIT
Spur Corporation Limited ; SUR
Stadio Holdings Limited ; SDO
Stefanutti Stocks Holdings Ltd ; SSK
Steinhoff International Holdings NV ; SNH
STEINHOFF INVEST HLD PRF ; SHFF
Stellar Capital Partners Limited ; SCP
Stenprop Limited ; STP
Stor-Age Property REIT Limited ; SSS
Sun International Limited ; SUI
Super Group Limited ; SPG
Sygnia Limited ; SYG
Telemasters Holdings Limited ; TLM
Telkom SA SOC Limited ; TKG
Textainer Group Holdings Limited ; TXT
Texton Property Fund Limited ; TEX
Tharisa Plc ; THA
The Bidvest Group Limited ; BVT
The Foschini Group Limited ; TFG
The SPAR Group Limited ; SPP
Tiger Brands Limited ; TBS
Tongaat Hulett Limited ; TON
Total Client Services Limited ; TCS
Tower Property Fund Limited ; TWR
Tradehold Limited ; TDH
Transaction Capital Limited ; TCP
Transcend Res Prop Fd Ld ; TPF
Transpaco Limited ; TPC
Trellidor Holdings Limited ; TRL
Trematon Capital Investments Ltd ; TMT
Trencor Limited ; TRE
Truworths International Limited ; TRU
TSOGO SUN GAMING LIMITED ; TSG
Tsogo Sun Hotels Limited ; TGO
Union Atlantic Minerals Limited ; UAT
UPARTNERS ; UPARTNERS
Value Group Limited ; VLE
Visual International Holdings Limited ; VIS
Vivo Energy Plc ; VVO
Vodacom Group Limited ; VOD
Vukile Property Fund Limited ; VKE
Vunani Limited ; VUN
W G Wearne Limited ; WEA
Wescoal Holdings Limited ; WSL
Wesizwe Platinum Limited ; WEZ
Wilson Bayly Holmes-Ovcon Limited ; WBO
Woolworths Holdings Limited ; WHL
Workforce Holdings Limited ; WKF
YeboYethu Limited ; YYLBEE
York Timber Holdings Limited ; YRK
Zambezi Plat RF Ltd Pref ; ZPLP
ZARCLEAR HOLDINGS Limited ; ZCL
Zeder Investments Limited ; ZED
